"Profile","Channel","AlgorithmId","PKey2009Priority","PKey2005Priority","PKey986-980Priority","Path"
"Pre-Vista (Windows 98 to XP - Office 2000 to 2007 - etc)","Production","[980, 986]","0","0","2","Pre-Vista Custom Made\Pre-Vista (Windows 98 to XP - Office 2000 to 2007 - etc)\pkeyconfig-custom-made.xrm-ms"
"28000 - Windows 11 24H2-25H2-26H2 - Server 2025 - Azure Local 24H2","Production","[2009]","1","0","0","Windows - Server\Production\Main\28000 - Windows 11 24H2-25H2-26H2 - Server 2025 - Azure Local 24H2\pkeyconfig.xrm-ms"
"25398 - Server 23H2 - Azure Stack HCI 23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\25398 - Server 23H2 - Azure Stack HCI 23H2\pkeyconfig.xrm-ms"
"22631 - Windows 11 22H2-23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\22631 - Windows 11 22H2-23H2\pkeyconfig.xrm-ms"
"22000 - Windows 11 21H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\22000 - Windows 11 21H2\pkeyconfig.xrm-ms"
"20348 - Server 2022 - Azure Stack HCI 21H2-22H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\20348 - Server 2022 - Azure Stack HCI 21H2-22H2\pkeyconfig.xrm-ms"
"19045 - Windows 10 2004-20H2-21H1-21H2-22H2 - Server 2004-20H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\19045 - Windows 10 2004-20H2-21H1-21H2-22H2 - Server 2004-20H2\pkeyconfig.xrm-ms"
"18363 - Windows 10 1903-1909 - Server 1903-1909","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\18363 - Windows 10 1903-1909 - Server 1903-1909\pkeyconfig.xrm-ms"
"17784 - Azure Stack HCI 20H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\17784 - Azure Stack HCI 20H2\pkeyconfig.xrm-ms"
"17763 - Windows 10 1809 - Server 2019-1809","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\17763 - Windows 10 1809 - Server 2019-1809\pkeyconfig.xrm-ms"
"17134 - Windows 10 1803 - Server 1803","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\17134 - Windows 10 1803 - Server 1803\pkeyconfig.xrm-ms"
"16299 - Windows 10 1709 - Server 1709","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\16299 - Windows 10 1709 - Server 1709\pkeyconfig.xrm-ms"
"15063 - Windows 10 1703","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\15063 - Windows 10 1703\pkeyconfig.xrm-ms"
"14393 - Windows 10 1607 - Server 2016","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\14393 - Windows 10 1607 - Server 2016\pkeyconfig.xrm-ms"
"10586 - Windows 10 1511","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\10586 - Windows 10 1511\pkeyconfig.xrm-ms"
"10240 - Windows 10 1507","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\10240 - Windows 10 1507\pkeyconfig.xrm-ms"
"9600 - Windows 8.1 - Server 2012 R2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\9600 - Windows 8.1 - Server 2012 R2\pkeyconfig.xrm-ms"
"9200 - Windows 8 - Server 2012","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\9200 - Windows 8 - Server 2012\pkeyconfig.xrm-ms"
"7601 - Windows 7 - Server 2008 R2","Production","[2005]","0","1","0","Windows - Server\Production\Main\7601 - Windows 7 - Server 2008 R2\pkeyconfig.xrm-ms"
"6002 - Windows Vista - Server 2008","Production","[2005]","0","1","0","Windows - Server\Production\Main\6002 - Windows Vista - Server 2008\pkeyconfig.xrm-ms"
"9200 - Windows Embedded Standard 8","Production","[2005, 2009]","1","2","0","Embedded\Production\9200 - Windows Embedded Standard 8\pkeyconfig.xrm-ms"
"7601 - Windows Embedded POSReady 7","Production","[2005]","0","1","0","Embedded\Production\7601 - Windows Embedded POSReady 7\pkeyconfig.xrm-ms"
"7601 - Windows Embedded Standard 7","Production","[2005]","0","1","0","Embedded\Production\7601 - Windows Embedded Standard 7\pkeyconfig.xrm-ms"
"7600 - Windows Thin PC","Production","[2005]","0","1","0","Embedded\Production\7600 - Windows Thin PC\pkeyconfig.xrm-ms"
"Office 2016-2019-2021-2024-O365 Subscription For Mac","Production","[2009]","1","0","0","Office\Production\Office 2016-2019-2021-2024-O365 Subscription For Mac\subscription_pkeyconfig.xml"
"Office 2016-2019-2021-2024-O365","Production","[2009]","1","0","0","Office\Production\Office 2016-2019-2021-2024-O365\pkeyconfig-office.xrm-ms"
"Office 2013-O365","Production","[2009]","1","0","0","Office\Production\Office 2013-O365\pkeyconfig-office.xrm-ms"
"Office 2011 For Mac","Production","[2005]","0","1","0","Office\Production\Office 2011 For Mac\retail_pkeyconfig.xml"
"Office 2010","Production","[2005]","0","1","0","Office\Production\Office 2010\pkeyconfig-office.xrm-ms"
"Office 2016-2019-2021-2024 KMS Host","Production","[2005]","0","1","0","Office KMS Host\Production\Office 2016-2019-2021-2024 KMS Host\pkeyconfig-office-kmshost.xrm-ms"
"Office 2013 KMS Host","Production","[2005]","0","1","0","Office KMS Host\Production\Office 2013 KMS Host\pkeyconfig-office-kmshost.xrm-ms"
"Office 2010 KMS Host","Production","[2005]","0","1","0","Office KMS Host\Production\Office 2010 KMS Host\prs-pkeyconfig-o14-rtm.xrm-ms"
"28000 - Csvlk - Windows 11 24H2-25H2-26H2 - Server 2025 - Azure Local 24H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\28000 - Csvlk - Windows 11 24H2-25H2-26H2 - Server 2025 - Azure Local 24H2\pkeyconfig-csvlk.xrm-ms"
"25398 - Csvlk - Server 23H2 - Azure Stack HCI 23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\25398 - Csvlk - Server 23H2 - Azure Stack HCI 23H2\pkeyconfig-csvlk.xrm-ms"
"22631 - Csvlk - Windows 11 22H2-23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\22631 - Csvlk - Windows 11 22H2-23H2\pkeyconfig-csvlk.xrm-ms"
"22000 - Csvlk - Windows 11 21H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\22000 - Csvlk - Windows 11 21H2\pkeyconfig-csvlk.xrm-ms"
"20348 - Csvlk - Server 2022 - Azure Stack HCI 21H2-22H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\20348 - Csvlk - Server 2022 - Azure Stack HCI 21H2-22H2\pkeyconfig-csvlk.xrm-ms"
"19045 - Csvlk - Windows 10 2004-20H2-21H1-21H2-22H2 - Server 2004-20H2","Production","[2005, 2009]","2","1","0","Windows - Server\Production\Csvlk\19045 - Csvlk - Windows 10 2004-20H2-21H1-21H2-22H2 - Server 2004-20H2\pkeyconfig-csvlk.xrm-ms"
"18363 - Csvlk - Windows 10 1903-1909 - Server 1903-1909","Production","[2005, 2009]","2","1","0","Windows - Server\Production\Csvlk\18363 - Csvlk - Windows 10 1903-1909 - Server 1903-1909\pkeyconfig-csvlk.xrm-ms"
"17784 - Csvlk - Azure Stack HCI 20H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\17784 - Csvlk - Azure Stack HCI 20H2\pkeyconfig-csvlk.xrm-ms"
"17763 - Csvlk - Windows 10 1809 - Server 2019-1809","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\17763 - Csvlk - Windows 10 1809 - Server 2019-1809\pkeyconfig-csvlk.xrm-ms"
"17134 - Csvlk - Windows 10 1803 - Server 1803","Production","[2005, 2009]","2","1","0","Windows - Server\Production\Csvlk\17134 - Csvlk - Windows 10 1803 - Server 1803\pkeyconfig-csvlk.xrm-ms"
"16299 - Csvlk - Windows 10 1709 - Server 1709","Production","[2005, 2009]","2","1","0","Windows - Server\Production\Csvlk\16299 - Csvlk - Windows 10 1709 - Server 1709\pkeyconfig-csvlk.xrm-ms"
"15063 - Csvlk - Windows 10 1703","Production","[2005, 2009]","2","1","0","Windows - Server\Production\Csvlk\15063 - Csvlk - Windows 10 1703\pkeyconfig-csvlk.xrm-ms"
"14393 - Csvlk - Windows 10 1607 - Server 2016","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\14393 - Csvlk - Windows 10 1607 - Server 2016\pkeyconfig-csvlk.xrm-ms"
"10586 - Csvlk - Windows 10 1511","Production","[2005]","0","1","0","Windows - Server\Production\Csvlk\10586 - Csvlk - Windows 10 1511\pkeyconfig-csvlk.xrm-ms"
"10240 - Csvlk - Windows 10 1507","Production","[2005]","0","1","0","Windows - Server\Production\Csvlk\10240 - Csvlk - Windows 10 1507\pkeyconfig-csvlk.xrm-ms"
"9600 - Csvlk - Windows 8.1 - Server 2012 R2","Production","[2005]","0","1","0","Windows - Server\Production\Csvlk\9600 - Csvlk - Windows 8.1 - Server 2012 R2\pkeyconfig-csvlk.xrm-ms"
"9200 - Csvlk - Windows 8 - Server 2012","Production","[2005]","0","1","0","Windows - Server\Production\Csvlk\9200 - Csvlk - Windows 8 - Server 2012\pkeyconfig-csvlk.xrm-ms"
"22631 - Downlevel - Windows 11 23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Downlevel\22631 - Downlevel - Windows 11 23H2\pkeyconfig-downlevel.xrm-ms"
"Visual Studio 2026","Production","[2009]","1","0","0","Visual Studio\Production\Visual Studio 2026\pkconfig.xrm-ms"
"Visual Studio 2022","Production","[2009]","1","0","0","Visual Studio\Production\Visual Studio 2022\pkconfig.xrm-ms"
"Visual Studio 2019","Production","[2009]","1","0","0","Visual Studio\Production\Visual Studio 2019\pkconfig.xrm-ms"
"Visual Studio 2017","Production","[2009]","1","0","0","Visual Studio\Production\Visual Studio 2017\pkconfig.xrm-ms"
"Visual Studio 2015","Production","[2009]","1","0","0","Visual Studio\Production\Visual Studio 2015\pkconfig.xrm-ms"
"Visual Studio 2013","Production","[2005]","0","1","0","Visual Studio\Production\Visual Studio 2013\pkconfig.xrm-ms"
"Visual Studio 2012","Production","[2005]","0","1","0","Visual Studio\Production\Visual Studio 2012\pkconfig.xrm-ms"
"Visual Studio 2010","Production","[2005]","0","1","0","Visual Studio\Production\Visual Studio 2010\pkconfig.xrm-ms"
"SQL Server 2025","Production","[2009]","1","0","0","SQL Server\Production\SQL Server 2025\PidPrivateConfigObjectMaps.xml"
"SQL Server 2022","Production","[2009]","1","0","0","SQL Server\Production\SQL Server 2022\PidPrivateConfigObjectMaps.xml"
"SQL Server 2019","Production","[2009]","1","0","0","SQL Server\Production\SQL Server 2019\PidPrivateConfigObjectMaps.xml"
"SQL Server 2017","Production","[2009]","1","0","0","SQL Server\Production\SQL Server 2017\PidPrivateConfigObjectMaps.xml"
"SQL Server 2016","Production","[2009]","1","0","0","SQL Server\Production\SQL Server 2016\PidPrivateConfigObjectMaps.xml"
"SQL Server 2014","Production","[2005]","0","1","0","SQL Server\Production\SQL Server 2014\PidPrivateConfigObjectMaps.xml"
"SQL Server 2012","Production","[2005]","0","1","0","SQL Server\Production\SQL Server 2012\PidPrivateConfigObjectMaps.xml"
"Sharepoint Server 2019","Production","[2009]","1","0","0","Sharepoint Server\Production\Sharepoint Server 2019\pkeyconfig-office.xrm-ms"
"Sharepoint Server 2016","Production","[2009]","1","0","0","Sharepoint Server\Production\Sharepoint Server 2016\pkeyconfig-office.xrm-ms"
"Sharepoint Server 2013","Production","[2009]","1","0","0","Sharepoint Server\Production\Sharepoint Server 2013\pkeyconfig-office.xrm-ms"
"Sharepoint Server 2010","Production","[2005]","0","1","0","Sharepoint Server\Production\Sharepoint Server 2010\pkeyconfig-office.xrm-ms"
"SharePoint Server Subscription Edition","Production","[2009]","1","0","0","Sharepoint Server\Production\SharePoint Server Subscription Edition\pkeyconfig-office.xrm-ms"
"System Center 2012 and Later","Production","[2005]","0","1","0","System Center\Production\System Center 2012 and Later\PKConfig.xml"
"Exchange Server 2019","Production","[2009]","1","0","0","Exchange Server\Production\Exchange Server 2019\ProductKeyConfig.xml"
"Exchange Server 2016","Production","[2005]","0","1","0","Exchange Server\Production\Exchange Server 2016\productkeyconfig.xml"
"Exchange Server 2013","Production","[2005]","0","1","0","Exchange Server\Production\Exchange Server 2013\ProductKeyConfig.xml"
"Exchange Server 2010","Production","[2005]","0","1","0","Exchange Server\Production\Exchange Server 2010\ProductKeyConfig.xml"
"Exchange Server Subscription Edition","Production","[2009]","1","0","0","Exchange Server\Production\Exchange Server Subscription Edition\ProductKeyConfig.xml"
"Dynamics CRM 2016 - Dynamics 365 v8.X","Production","[2009]","1","0","0","Dynamics CRM\Production\Dynamics CRM 2016 - Dynamics 365 v8.X\Crm8PKConfig.xml"
"Dynamics CRM 2016","Production","[2009]","1","0","0","Dynamics CRM\Production\Dynamics CRM 2016\Crm8PKConfig.xml"
"Dynamics CRM 2015","Production","[2009]","1","0","0","Dynamics CRM\Production\Dynamics CRM 2015\CrmRtm7PKConfig.xml"
"Dynamics CRM 2013","Production","[2009]","1","0","0","Dynamics CRM\Production\Dynamics CRM 2013\CrmRtm6PKConfig.xml"
"Dynamics CRM 2011","Production","[2005]","0","1","0","Dynamics CRM\Production\Dynamics CRM 2011\CrmPKConfig.xml"
"Dynamics 365 v9.X","Production","[2009]","1","0","0","Dynamics CRM\Production\Dynamics 365 v9.X\Crm9PKConfig.xml"
"29531 - Beta - Windows 11","Beta","[2009]","3","0","0","Windows - Server\Beta\Main\29531 - Beta - Windows 11\pkeyconfig.xrm-ms"
"17000 - Beta - Windows 10","Beta","[2005, 2009]","3","4","0","Windows - Server\Beta\Main\17000 - Beta - Windows 10\pkeyconfig.xrm-ms"
"15035 - Beta - Windows 10","Beta","[2005, 2009]","3","4","0","Windows - Server\Beta\Main\15035 - Beta - Windows 10\pkeyconfig.xrm-ms"
"10143 - Beta - Windows 10","Beta","[2005, 2009]","3","4","0","Windows - Server\Beta\Main\10143 - Beta - Windows 10\pkeyconfig.xrm-ms"
"9385 - Beta - Windows 8.1","Beta","[2005, 2009]","3","4","0","Windows - Server\Beta\Main\9385 - Beta - Windows 8.1\pkeyconfig.xrm-ms"
"8288 - Beta - Windows 8","Beta","[2005, 2009]","3","4","0","Windows - Server\Beta\Main\8288 - Beta - Windows 8\pkeyconfig.xrm-ms"
"8019 - Beta - Windows 8","Beta","[2005, 2009]","3","4","0","Windows - Server\Beta\Main\8019 - Beta - Windows 8\pkeyconfig.xrm-ms"
"7887 - Beta - Windows 8","Beta","[2005, 2009]","4","3","0","Windows - Server\Beta\Main\7887 - Beta - Windows 8\pkeyconfig.xrm-ms"
"7262 - Beta - Windows 7","Beta","[2005]","0","3","0","Windows - Server\Beta\Main\7262 - Beta - Windows 7\pkeyconfig.xrm-ms"
"6936 - Beta - Windows 7","Beta","[2005]","0","3","0","Windows - Server\Beta\Main\6936 - Beta - Windows 7\pkeyconfig.xrm-ms"
"6926 - Beta - Windows 7","Beta","[2005]","0","3","0","Windows - Server\Beta\Main\6926 - Beta - Windows 7\pkeyconfig.xrm-ms"
"6574 - Beta - Windows 7","Beta","[2005]","0","3","0","Windows - Server\Beta\Main\6574 - Beta - Windows 7\pkeyconfig.xrm-ms"
"6519 - Beta - Windows 7","Beta","[2005]","0","3","0","Windows - Server\Beta\Main\6519 - Beta - Windows 7\pkeyconfig.xrm-ms"
"5757 - Beta - Windows Vista","Beta","[2005]","0","3","0","Windows - Server\Beta\Main\5757 - Beta - Windows Vista\pkeyconfig.xrm-ms"
"5356 - Beta - Windows Vista","Beta","[2005]","0","3","0","Windows - Server\Beta\Main\5356 - Beta - Windows Vista\pkeyconfig.xrm-ms"
"5308 - Beta - Windows Vista","Beta","[2005, 986]","0","4","1","Windows - Server\Beta\Main\5308 - Beta - Windows Vista\pkeyconfig.xrm-ms"
"5231 - Beta - Windows Vista","Beta","[986]","0","0","1","Windows - Server\Beta\Main\5231 - Beta - Windows Vista\pkeyconfig.xml"
"5098 - Beta - Windows Vista","Beta","[986]","0","0","1","Windows - Server\Beta\Main\5098 - Beta - Windows Vista\pkeyconfig.xml"
"15.0.4025.1000 - Beta - Office 2013","Beta","[2009]","3","0","0","Office\Beta\15.0.4025.1000 - Beta - Office 2013\pkeyconfig-office.xrm-ms"
"14.0.4417.1000 - Beta - Office 2010","Beta","[2005]","0","3","0","Office\Beta\14.0.4417.1000 - Beta - Office 2010\pkeyconfig-office.xrm-ms"
"29531 - Beta - Csvlk - Windows 11","Beta","[2005, 2009]","3","4","0","Windows - Server\Beta\Csvlk\29531 - Beta - Csvlk - Windows 11\pkeyconfig-csvlk.xrm-ms"
"10143 - Beta - Csvlk - Windows 10","Beta","[2005, 2009]","4","3","0","Windows - Server\Beta\Csvlk\10143 - Beta - Csvlk - Windows 10\pkeyconfig-csvlk.xrm-ms"
"8288 - Beta - Csvlk - Windows 8","Beta","[2005]","0","3","0","Windows - Server\Beta\Csvlk\8288 - Beta - Csvlk - Windows 8\pkeyconfig-csvlk.xrm-ms"
"8032 - Beta - Csvlk - Windows 8","Beta","[2005, 2009]","4","3","0","Windows - Server\Beta\Csvlk\8032 - Beta - Csvlk - Windows 8\pkeyconfig-csvlk.xrm-ms"
