Edition,License,Stage,Channel_Min,Sequence_Min,Channel_Max,Sequence_Max,BinkID_Hex,BinkID_Dec
Windows Server 2003 Enterprise,Retail,SP2,771,000000,774,999999,54,84
Windows Server 2003 Enterprise,Retail,SP2,779,000000,780,999999,54,84
Windows Server 2003 Enterprise,Retail,SP2,786,000000,787,999999,54,84
Windows Server 2003 Enterprise,Retail,SP2,789,000000,789,999999,54,84
Windows Server 2003 Enterprise,Retail,R2,071,000000,082,999999,58,88
Windows Server 2003 Enterprise,Retail,R2,091,000000,092,999999,58,88
Windows Server 2003 Enterprise,Retail,R2,101,000000,102,999999,58,88
Windows Server 2003 Enterprise,Retail,R2,286,000000,290,999999,58,88
Windows Server 2003 Enterprise,Retail,R2,786,000000,787,999999,58,88
Windows Server 2003 Enterprise,Retail,R2,793,000000,793,999999,58,88
Windows Server 2003 Enterprise,OEM,RTM,132,000000,161,999999,55,85
Windows Server 2003 Enterprise,OEM,RTM,163,000000,163,999999,55,85
Windows Server 2003 Enterprise,OEM,SP1,132,000000,161,999999,55,85
Windows Server 2003 Enterprise,OEM,SP1,163,000000,163,999999,55,85
Windows Server 2003 Enterprise,OEM,SP2,132,000000,161,999999,55,85
Windows Server 2003 Enterprise,OEM,SP2,163,000000,163,999999,55,85
Windows Server 2003 Enterprise,OEM,R2,132,000000,161,999999,59,89
Windows Server 2003 Enterprise,OEM,R2,176,000000,177,999999,59,89
Windows Server 2003 Enterprise,OEM-SLP,RTM,119,004000,119,004999,55,85
Windows Server 2003 Enterprise,OEM-SLP,RTM,119,006000,119,006999,55,85
Windows Server 2003 Enterprise,OEM-SLP,SP1,119,004000,119,004999,55,85
Windows Server 2003 Enterprise,OEM-SLP,SP1,119,006000,119,006999,55,85
Windows Server 2003 Enterprise,OEM-SLP,SP2,119,004000,119,004999,55,85
Windows Server 2003 Enterprise,OEM-SLP,SP2,119,006000,119,006999,55,85
Windows Server 2003 Enterprise,OEM-SLP,R2,119,004000,119,004999,59,89
Windows Server 2003 Enterprise,OEM-SLP,R2,119,010000,119,010999,59,89
Windows Server 2003 Enterprise,VLK,RTM,640,000000,642,999999,5A,90
Windows Server 2003 Enterprise,VLK,SP1,640,000000,649,999999,5A,90
Windows Server 2003 Enterprise,VLK,SP2,640,000000,649,999999,5A,90
Windows Server 2003 Enterprise,VLK,R2,650,000000,654,999999,5A,90
Windows Server 2003 Enterprise,VLK,R2,655,000000,656,999999,5A,90
Windows Server 2003 Datacenter,Retail,RTM,083,000000,083,999999,54,84
Windows Server 2003 Datacenter,Retail,RTM,362,000000,366,999999,54,84
Windows Server 2003 Datacenter,Retail,RTM,775,000000,778,999999,54,84
Windows Server 2003 Datacenter,Retail,SP1,083,000000,083,999999,54,84
Windows Server 2003 Datacenter,Retail,SP1,362,000000,366,999999,54,84
Windows Server 2003 Datacenter,Retail,SP1,775,000000,778,999999,54,84
Windows Server 2003 Datacenter,Retail,SP2,083,000000,083,999999,54,84
Windows Server 2003 Datacenter,Retail,SP2,362,000000,366,999999,54,84
Windows Server 2003 Datacenter,Retail,SP2,775,000000,778,999999,54,84
Windows Server 2003 Datacenter,Retail,R2,083,000000,083,999999,58,88
Windows Server 2003 Datacenter,Retail,R2,281,000000,285,999999,58,88
Windows Server 2003 Datacenter,Retail,R2,788,000000,788,999999,58,88
Windows Server 2003 Datacenter,OEM,RTM,162,000000,162,999999,55,85
Windows Server 2003 Datacenter,OEM,SP1,162,000000,162,999999,55,85
Windows Server 2003 Datacenter,OEM,SP2,162,000000,162,999999,55,85
Windows Server 2003 Datacenter,OEM,R2,162,000000,162,999999,59,89
Windows Server 2003 Datacenter,OEM-SLP,RTM,119,005000,119,005999,55,85
Windows Server 2003 Datacenter,OEM-SLP,SP1,119,005000,119,005999,55,85
Windows Server 2003 Datacenter,OEM-SLP,SP2,119,005000,119,005999,55,85
Windows Server 2003 Datacenter,OEM-SLP,R2,119,005000,119,005999,59,89
Windows Server 2003 Datacenter,VLK,RTM,640,000000,642,999999,5A,90
Windows Server 2003 Datacenter,VLK,SP1,640,000000,649,999999,5A,90
Windows Server 2003 Datacenter,VLK,SP2,640,000000,649,999999,5A,90
Windows Server 2003 Datacenter,VLK,R2,650,000000,654,999999,5A,90
Windows Server 2003 Datacenter,VLK,R2,655,000000,656,999999,5A,90
Windows Server 2003 Standard x64 Edition,Retail,SP2,012,000000,065,999999,6C,108
Windows Server 2003 Standard x64 Edition,Retail,SP2,117,000000,117,999999,6C,108
Windows Server 2003 Standard x64 Edition,Retail,SP2,300,000000,309,999999,6C,108
Windows Server 2003 Standard x64 Edition,Retail,R2,012,000000,065,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,085,000000,086,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,087,000000,088,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,091,000000,092,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,291,000000,295,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,311,000000,312,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,319,000000,320,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,321,000000,330,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,783,000000,784,999999,68,104
Windows Server 2003 Standard x64 Edition,Retail,R2,792,000000,792,999999,68,104
Windows Server 2003 Standard x64 Edition,OEM,SP2,127,000000,226,999999,6D,109
Windows Server 2003 Standard x64 Edition,OEM,R2,127,000000,226,999999,69,105
Windows Server 2003 Standard x64 Edition,OEM,R2,271,000000,272,999999,69,105
Windows Server 2003 Standard x64 Edition,OEM,R2,273,000000,274,999999,69,105
Windows Server 2003 Standard x64 Edition,OEM,R2,275,000000,276,999999,69,105
Windows Server 2003 Standard x64 Edition,OEM,R2,279,000000,280,999999,69,105
Windows Server 2003 Standard x64 Edition,OEM-SLP,SP2,119,002000,119,002999,6D,109
Windows Server 2003 Standard x64 Edition,OEM-SLP,R2,119,002000,119,002999,69,105
Windows Server 2003 Standard x64 Edition,OEM-SLP,R2,119,006000,119,006999,69,105
Windows Server 2003 Standard x64 Edition,OEM-SLP,R2,119,007000,119,007999,69,105
Windows Server 2003 Standard x64 Edition,OEM-SLP,R2,119,008000,119,008999,69,105
Windows Server 2003 Standard x64 Edition,OEM-SLP,R2,119,010000,119,010999,69,105
Windows Server 2003 Standard x64 Edition,VLK,SP2,640,000000,642,999999,64,100
Windows Server 2003 Standard x64 Edition,VLK,R2,643,000000,649,999999,64,100
Windows Server 2003 Enterprise x64 Edition,Retail,SP2,071,000000,082,999999,6C,108
Windows Server 2003 Enterprise x64 Edition,Retail,SP2,090,000000,092,999999,6C,108
Windows Server 2003 Enterprise x64 Edition,Retail,SP2,300,000000,309,999999,6C,108
Windows Server 2003 Enterprise x64 Edition,Retail,R2,071,000000,082,999999,68,104
Windows Server 2003 Enterprise x64 Edition,Retail,R2,089,000000,090,999999,68,104
Windows Server 2003 Enterprise x64 Edition,Retail,R2,095,000000,095,999999,68,104
Windows Server 2003 Enterprise x64 Edition,Retail,R2,301,000000,305,999999,68,104
Windows Server 2003 Enterprise x64 Edition,Retail,R2,313,000000,314,999999,68,104
Windows Server 2003 Enterprise x64 Edition,Retail,R2,321,000000,330,999999,68,104
Windows Server 2003 Enterprise x64 Edition,Retail,R2,786,000000,787,999999,68,104
Windows Server 2003 Enterprise x64 Edition,OEM,SP2,232,000000,261,999999,6D,109
Windows Server 2003 Enterprise x64 Edition,OEM,R2,232,000000,261,999999,69,105
Windows Server 2003 Enterprise x64 Edition,OEM,R2,277,000000,278,999999,69,105
Windows Server 2003 Enterprise x64 Edition,OEM-SLP,SP2,119,004000,119,004999,6D,109
Windows Server 2003 Enterprise x64 Edition,OEM-SLP,R2,119,004000,119,004999,69,105
Windows Server 2003 Enterprise x64 Edition,OEM-SLP,R2,119,009000,119,009999,69,105
Windows Server 2003 Enterprise x64 Edition,VLK,SP2,640,000000,642,999999,64,100
Windows Server 2003 Enterprise x64 Edition,VLK,R2,643,000000,649,999999,64,100
Windows Server 2003 Datacenter x64 Edition,Retail,SP2,083,000000,084,999999,6C,108
Windows Server 2003 Datacenter x64 Edition,Retail,SP2,094,000000,094,999999,6C,108
Windows Server 2003 Datacenter x64 Edition,Retail,SP2,300,000000,309,999999,6C,108
Windows Server 2003 Datacenter x64 Edition,Retail,R2,083,000000,084,999999,68,104
Windows Server 2003 Datacenter x64 Edition,Retail,R2,306,000000,310,999999,68,104
Windows Server 2003 Datacenter x64 Edition,Retail,R2,321,000000,330,999999,68,104
Windows Server 2003 Datacenter x64 Edition,Retail,R2,788,000000,789,999999,68,104
Windows Server 2003 Datacenter x64 Edition,OEM,SP2,262,000000,263,999999,6D,109
Windows Server 2003 Datacenter x64 Edition,OEM,R2,262,000000,263,999999,69,105
Windows Server 2003 Datacenter x64 Edition,OEM-SLP,SP2,119,005000,119,005999,6D,109
Windows Server 2003 Datacenter x64 Edition,OEM-SLP,R2,119,005000,119,005999,69,105
Windows Server 2003 Datacenter x64 Edition,VLK,SP2,640,000000,642,999999,64,100
Windows Server 2003 Datacenter x64 Edition,VLK,R2,643,000000,649,999999,64,100
Office 2000,Retail,N/A,000,000000,999,999999,04,4
Office 2000,OEM,N/A,000,000000,999,999999,05,5
Office 2002 Applications,Retail,N/A,750,000000,799,999999,20,32
Office 2002 Applications,OEM,N/A,900,000000,959,999999,21,33
Office 2002 Applications,VLK,N/A,640,000000,699,999999,20,32
Office 2002 Standard Edition,Retail,N/A,750,000000,799,999999,22,34
Office 2002 Standard Edition,OEM,N/A,900,000000,959,999999,23,35
Office 2002 Standard Edition,VLK,N/A,640,000000,699,999999,22,34
Office 2002 Small Business Edition,OEM,N/A,900,000000,959,999999,23,35
Office 2002 Professional Edition,Retail,N/A,750,000000,799,999999,22,34
Office 2002 Professional Edition,OEM,N/A,900,000000,959,999999,23,35
Office 2002 Professional Edition,VLK,N/A,640,000000,699,999999,22,34
Office 2003 Applications,Retail,Trial,100,000000,199,999999,6E,110
Office 2003 Applications,Retail,Trial,400,000000,464,999999,6E,110
Office 2003 Applications,Retail,Trial,502,000000,581,999999,6E,110
Office 2003 Applications,Retail,Bypass,582,000000,611,999999,6E,110
Office 2003 Applications,Retail,Bypass,612,000000,619,999999,6E,110
Office 2003 Applications,Retail,Perpetual,700,000000,720,999999,6E,110
Office 2003 Applications,Retail,Perpetual,745,000000,760,999999,6E,110
Office 2003 Applications,Retail,Perpetual,761,000000,776,999999,6E,110
Office 2003 Applications,Retail,Perpetual,777,000000,797,999999,6E,110
Office 2003 Applications,Retail,Perpetual,798,000000,798,999999,6E,110
Office 2003 Applications,Retail,Perpetual,799,000000,799,999999,6E,110
Office 2003 Applications,Retail,Premium,361,000000,399,999999,6E,110
Office 2003 Applications,Retail,Premium,501,000000,501,999999,6E,110
Office 2003 Applications,Retail,Academic,049,000000,099,999999,6E,110
Office 2003 Applications,Retail,MSDN,336,000000,360,999999,6E,110
Office 2003 Applications,Retail,HomeUse,470,000000,499,999999,6E,110
Office 2003 Applications,Retail,HomeUse,721,000000,744,999999,6E,110
Office 2003 Applications,OEM,Trial,200,000000,209,999999,6F,111
Office 2003 Applications,OEM,Trial,311,000000,335,999999,6F,111
Office 2003 Applications,OEM,Trial,800,000000,886,999999,6F,111
Office 2003 Applications,OEM,Perpetual,500,000000,500,999999,6F,111
Office 2003 Applications,OEM,Perpetual,900,000000,998,999999,6F,111
Office 2003 Applications,VLK,N/A,620,000000,624,999999,6E,110
Office 2003 Applications,VLK,N/A,626,000000,639,999999,6E,110
Office 2003 Applications,VLK,N/A,640,000000,699,999999,6E,110
Office 2003 Basic Edition,Retail,Trial,100,000000,199,999999,70,112
Office 2003 Basic Edition,Retail,Trial,400,000000,464,999999,70,112
Office 2003 Basic Edition,Retail,Trial,502,000000,581,999999,70,112
Office 2003 Basic Edition,Retail,Bypass,582,000000,611,999999,70,112
Office 2003 Basic Edition,Retail,Bypass,612,000000,619,999999,70,112
Office 2003 Basic Edition,Retail,Perpetual,700,000000,720,999999,70,112
Office 2003 Basic Edition,Retail,Perpetual,745,000000,760,999999,70,112
Office 2003 Basic Edition,Retail,Perpetual,761,000000,776,999999,70,112
Office 2003 Basic Edition,Retail,Perpetual,777,000000,797,999999,70,112
Office 2003 Basic Edition,Retail,Perpetual,798,000000,798,999999,70,112
Office 2003 Basic Edition,Retail,Perpetual,799,000000,799,999999,70,112
Office 2003 Basic Edition,Retail,Premium,361,000000,399,999999,70,112
Office 2003 Basic Edition,Retail,Premium,501,000000,501,999999,70,112
Office 2003 Basic Edition,Retail,Academic,049,000000,099,999999,70,112
Office 2003 Basic Edition,Retail,MSDN,336,000000,360,999999,70,112
Office 2003 Basic Edition,Retail,HomeUse,470,000000,499,999999,70,112
Office 2003 Basic Edition,Retail,HomeUse,721,000000,744,999999,70,112
Office 2003 Basic Edition,OEM,Trial,200,000000,209,999999,71,113
Office 2003 Basic Edition,OEM,Trial,311,000000,335,999999,71,113
Office 2003 Basic Edition,OEM,Trial,800,000000,886,999999,71,113
Office 2003 Basic Edition,OEM,Perpetual,500,000000,500,999999,71,113
Office 2003 Basic Edition,OEM,Perpetual,900,000000,998,999999,71,113
Office 2003 Small Business Edition,Retail,Trial,100,000000,199,999999,70,112
Office 2003 Small Business Edition,Retail,Trial,400,000000,464,999999,70,112
Office 2003 Small Business Edition,Retail,Trial,502,000000,581,999999,70,112
Office 2003 Small Business Edition,Retail,Bypass,582,000000,611,999999,70,112
Office 2003 Small Business Edition,Retail,Bypass,612,000000,619,999999,70,112
Office 2003 Small Business Edition,Retail,Perpetual,700,000000,720,999999,70,112
Office 2003 Small Business Edition,Retail,Perpetual,745,000000,760,999999,70,112
Office 2003 Small Business Edition,Retail,Perpetual,761,000000,776,999999,70,112
Office 2003 Small Business Edition,Retail,Perpetual,777,000000,797,999999,70,112
Office 2003 Small Business Edition,Retail,Perpetual,798,000000,798,999999,70,112
Office 2003 Small Business Edition,Retail,Perpetual,799,000000,799,999999,70,112
Office 2003 Small Business Edition,Retail,Premium,361,000000,399,999999,70,112
Office 2003 Small Business Edition,Retail,Premium,501,000000,501,999999,70,112
Office 2003 Small Business Edition,Retail,Academic,049,000000,099,999999,70,112
Office 2003 Small Business Edition,Retail,MSDN,336,000000,360,999999,70,112
Office 2003 Small Business Edition,Retail,HomeUse,470,000000,499,999999,70,112
Office 2003 Small Business Edition,Retail,HomeUse,721,000000,744,999999,70,112
Office 2003 Small Business Edition,OEM,Trial,200,000000,209,999999,71,113
Office 2003 Small Business Edition,OEM,Trial,311,000000,335,999999,71,113
Office 2003 Small Business Edition,OEM,Trial,800,000000,886,999999,71,113
Office 2003 Small Business Edition,OEM,Perpetual,500,000000,500,999999,71,113
Office 2003 Small Business Edition,OEM,Perpetual,900,000000,998,999999,71,113
Office 2003 Standard Edition,Retail,Trial,100,000000,199,999999,70,112
Office 2003 Standard Edition,Retail,Trial,400,000000,464,999999,70,112
Office 2003 Standard Edition,Retail,Trial,502,000000,581,999999,70,112
Office 2003 Standard Edition,Retail,Bypass,582,000000,611,999999,70,112
Office 2003 Standard Edition,Retail,Bypass,612,000000,619,999999,70,112
Office 2003 Standard Edition,Retail,Perpetual,700,000000,720,999999,70,112
Office 2003 Standard Edition,Retail,Perpetual,745,000000,760,999999,70,112
Office 2003 Standard Edition,Retail,Perpetual,761,000000,776,999999,70,112
Office 2003 Standard Edition,Retail,Perpetual,777,000000,797,999999,70,112
Office 2003 Standard Edition,Retail,Perpetual,798,000000,798,999999,70,112
Office 2003 Standard Edition,Retail,Perpetual,799,000000,799,999999,70,112
Office 2003 Standard Edition,Retail,Premium,361,000000,399,999999,70,112
Office 2003 Standard Edition,Retail,Premium,501,000000,501,999999,70,112
Office 2003 Standard Edition,Retail,Academic,049,000000,099,999999,70,112
Office 2003 Standard Edition,Retail,MSDN,336,000000,360,999999,70,112
Office 2003 Standard Edition,Retail,HomeUse,470,000000,499,999999,70,112
Office 2003 Standard Edition,Retail,HomeUse,721,000000,744,999999,70,112
Office 2003 Standard Edition,OEM,Trial,200,000000,209,999999,71,113
Office 2003 Standard Edition,OEM,Trial,311,000000,335,999999,71,113
Office 2003 Standard Edition,OEM,Trial,800,000000,886,999999,71,113
Office 2003 Standard Edition,OEM,Perpetual,500,000000,500,999999,71,113
Office 2003 Standard Edition,OEM,Perpetual,900,000000,998,999999,71,113
Office 2003 Standard Edition,VLK,N/A,620,000000,624,999999,70,112
Office 2003 Standard Edition,VLK,N/A,626,000000,639,999999,70,112
Office 2003 Standard Edition,VLK,N/A,640,000000,699,999999,70,112
Office 2003 Professional Edition,Retail,Trial,100,000000,199,999999,72,114
Office 2003 Professional Edition,Retail,Trial,400,000000,464,999999,72,114
Office 2003 Professional Edition,Retail,Trial,502,000000,581,999999,72,114
Office 2003 Professional Edition,Retail,Bypass,582,000000,611,999999,72,114
Office 2003 Professional Edition,Retail,Bypass,612,000000,619,999999,72,114
Office 2003 Professional Edition,Retail,Perpetual,700,000000,720,999999,72,114
Office 2003 Professional Edition,Retail,Perpetual,745,000000,760,999999,72,114
Office 2003 Professional Edition,Retail,Perpetual,761,000000,776,999999,72,114
Office 2003 Professional Edition,Retail,Perpetual,777,000000,797,999999,72,114
Office 2003 Professional Edition,Retail,Perpetual,798,000000,798,999999,72,114
Office 2003 Professional Edition,Retail,Perpetual,799,000000,799,999999,72,114
Office 2003 Professional Edition,Retail,Premium,361,000000,399,999999,72,114
Office 2003 Professional Edition,Retail,Premium,501,000000,501,999999,72,114
Office 2003 Professional Edition,Retail,Academic,049,000000,099,999999,72,114
Office 2003 Professional Edition,Retail,MSDN,336,000000,360,999999,72,114
Office 2003 Professional Edition,Retail,HomeUse,470,000000,499,999999,72,114
Office 2003 Professional Edition,Retail,HomeUse,721,000000,744,999999,72,114
Office 2003 Professional Edition,OEM,Trial,200,000000,209,999999,73,115
Office 2003 Professional Edition,OEM,Trial,311,000000,335,999999,73,115
Office 2003 Professional Edition,OEM,Trial,800,000000,886,999999,73,115
Office 2003 Professional Edition,OEM,Perpetual,500,000000,500,999999,73,115
Office 2003 Professional Edition,OEM,Perpetual,900,000000,998,999999,73,115
Office 2003 Professional Edition,VLK,N/A,620,000000,624,999999,72,114
Office 2003 Professional Edition,VLK,N/A,626,000000,639,999999,72,114
Office 2003 Professional Edition,VLK,N/A,640,000000,699,999999,72,114
Office 2007 Applications,Retail,Trial,301,000000,497,999999,7E,126
Office 2007 Applications,Retail,Trial,518,000000,557,999999,7E,126
Office 2007 Applications,Retail,Trial,573,000000,582,999999,7E,126
Office 2007 Applications,Retail,Trial,583,000000,642,999999,7E,126
Office 2007 Applications,Retail,Trial,643,000000,693,999999,7E,126
Office 2007 Applications,Retail,Bypass,694,000000,703,999999,7E,126
Office 2007 Applications,Retail,Perpetual,777,000000,811,999999,7E,126
Office 2007 Applications,Retail,Perpetual,852,000000,853,999999,7E,126
Office 2007 Applications,Retail,Perpetual,901,000000,955,999999,7E,126
Office 2007 Applications,Retail,Perpetual,956,000000,975,999999,7E,126
Office 2007 Applications,Retail,Perpetual,976,000000,999,999999,7E,126
Office 2007 Applications,Retail,Premium,706,000000,706,999999,7E,126
Office 2007 Applications,Retail,Premium,812,000000,851,999999,7E,126
Office 2007 Applications,Retail,Academic,854,000000,857,999999,7E,126
Office 2007 Applications,Retail,MSDN,858,000000,860,999999,7E,126
Office 2007 Applications,Retail,MSDN,861,000000,870,999999,7E,126
Office 2007 Applications,Retail,HomeUse,871,000000,900,999999,7E,126
Office 2007 Applications,OEM,Trial,001,000000,300,999999,7F,127
Office 2007 Applications,OEM,Trial,498,000000,517,999999,7F,127
Office 2007 Applications,OEM,Trial,563,000000,572,999999,7F,127
Office 2007 Applications,OEM,Perpetual,705,000000,705,999999,7F,127
Office 2007 Applications,OEM,Perpetual,727,000000,776,999999,7F,127
Office 2007 Applications,VLK,N/A,707,000000,726,999999,7E,126
Office 2007 Basic Edition,Retail,Trial,301,000000,497,999999,80,128
Office 2007 Basic Edition,Retail,Trial,518,000000,557,999999,80,128
Office 2007 Basic Edition,Retail,Trial,573,000000,582,999999,80,128
Office 2007 Basic Edition,Retail,Trial,583,000000,642,999999,80,128
Office 2007 Basic Edition,Retail,Trial,643,000000,693,999999,80,128
Office 2007 Basic Edition,Retail,Bypass,694,000000,703,999999,80,128
Office 2007 Basic Edition,Retail,Perpetual,777,000000,811,999999,80,128
Office 2007 Basic Edition,Retail,Perpetual,852,000000,853,999999,80,128
Office 2007 Basic Edition,Retail,Perpetual,901,000000,955,999999,80,128
Office 2007 Basic Edition,Retail,Perpetual,956,000000,975,999999,80,128
Office 2007 Basic Edition,Retail,Perpetual,976,000000,999,999999,80,128
Office 2007 Basic Edition,Retail,Premium,706,000000,706,999999,80,128
Office 2007 Basic Edition,Retail,Premium,812,000000,851,999999,80,128
Office 2007 Basic Edition,Retail,Academic,854,000000,857,999999,80,128
Office 2007 Basic Edition,Retail,MSDN,858,000000,860,999999,80,128
Office 2007 Basic Edition,Retail,MSDN,861,000000,870,999999,80,128
Office 2007 Basic Edition,Retail,HomeUse,871,000000,900,999999,80,128
Office 2007 Basic Edition,OEM,Trial,001,000000,300,999999,81,129
Office 2007 Basic Edition,OEM,Trial,498,000000,517,999999,81,129
Office 2007 Basic Edition,OEM,Trial,563,000000,572,999999,81,129
Office 2007 Basic Edition,OEM,Perpetual,705,000000,705,999999,81,129
Office 2007 Basic Edition,OEM,Perpetual,727,000000,776,999999,81,129
